dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,label
1.2495380360633135e-05,-1.0733634553616866e-05,-5.1807164709316567e-05,4.776813511853106e-05,6.195711466716602e-05,0.00016637565568089485,-8.505307050654665e-05,-1.783350671757944e-05,-9.116090222960338e-05,-2.3812681320123374e-06,-1.692063597147353e-05,6.201806172612123e-06,2.3532707928097807e-05,-5.913200220675208e-05,5.7463414123049006e-05,0.00011719958274625242,-2.3889326257631183e-05,2.6185101887676865e-05,-4.844887735089287e-05,4.663301297114231e-05,5.0
1.441978383809328e-05,-1.4103079593041912e-05,-5.780354331363924e-05,4.7851208364591e-05,6.404203304555267e-05,0.00016428333765361458,-8.252248517237604e-05,-2.0967934688087553e-05,-9.312995825894177e-05,4.7959983930923045e-06,-1.4737746823811904e-05,4.894109224551357e-06,2.1517200366361067e-05,-5.3009443945484236e-05,5.260104080662131e-05,0.0001102298338082619,-2.7456015232019126e-05,2.8823647880926728e-05,-4.77834400953725e-05,4.7961282689357176e-05,5.0
1.0909039701800793e-05,-1.290220461669378e-05,-5.4028441809350625e-05,5.040910036768764e-05,6.58973294775933e-05,0.00016599419177509844,-8.908011659514159e-05,-1.9691200577653944e-05,-9.399823466083035e-05,2.99169187201187e-06,-1.999991582124494e-05,1.1624001672316808e-06,2.4321581804542802e-05,-5.337096081348136e-05,6.160106568131596e-05,0.00011103400902356952,-2.7597559892456047e-05,2.754952947725542e-05,-4.9142872740048915e-05,4.514791726251133e-05,5.0
8.99544102139771e-06,-7.579172233818099e-06,-5.2127274102531374e-05,4.731923036160879e-05,6.399057747330517e-05,0.00017153131193481386,-8.436675852863118e-05,-2.191771454818081e-05,-9.183782822219655e-05,-7.511942385463044e-06,-2.082110586343333e-05,-2.914986453106394e-06,2.1967713109916076e-05,-5.671404505847022e-05,4.868226096732542e-05,0.00011677376460283995,-2.279368527524639e-05,2.7002268325304613e-05,-5.7011078752111644e-05,4.983344115316868e-05,5.0
3.733017365448177e-06,-1.5224104572553188e-06,-5.610396328847855e-05,4.0544484363636e-05,6.0140169807709754e-05,0.00016307694022543728,-7.815346179995686e-05,-1.9188672013115138e-05,-8.152127702487633e-05,-8.735369192436337e-07,-1.7611360817681998e-05,-5.526443601411302e-06,2.6925987185677513e-05,-6.197313632583246e-05,5.4574607929680496e-05,0.00011622643796727061,-2.8047625164617784e-05,2.9768645617878065e-05,-5.7797242334345356e-05,5.3869687690166757e-05,5.0
1.0431540431454778e-05,-1.2187025276944041e-05,-5.12685946887359e-05,4.575102138915099e-05,6.5394546254538e-05,0.00016728031914681196,-8.725978841539472e-05,-2.0979523469577543e-05,-9.31729591684416e-05,-5.028890882385895e-06,-1.1943575373152271e-05,5.4314459703164175e-06,2.713780850172043e-05,-6.613832374569029e-05,5.109269477543421e-05,0.00011262337648076937,-2.7025722374673933e-05,3.639019632828422e-05,-5.192415846977383e-05,4.462416109163314e-05,5.0
1.2260010407771915e-05,-3.1978597689885646e-06,-5.347383194020949e-05,5.0053880841005594e-05,6.255271728150547e-05,0.00016527294064871967,-8.650278323329985e-05,-2.2239231839193963e-05,-9.690203296486288e-05,-5.393878382164985e-06,-1.784547566785477e-05,2.7704254534910433e-07,2.4399763788096607e-05,-5.9276269894326106e-05,5.4149877541931346e-05,0.00011225670459680259,-2.6301693651475944e-05,2.7464888262329623e-05,-4.840060501010157e-05,4.988368891645223e-05,5.0
1.2145173968747258e-05,-5.502235580934212e-06,-5.3328123613027856e-05,4.939704740536399e-05,6.323204434011132e-05,0.00017409122665412724,-8.012360922293738e-05,-2.164740908483509e-05,-9.10417438717559e-05,-3.913504770025611e-06,-1.4182853192323819e-05,8.491679182043299e-06,2.7008991310140118e-05,-5.3967898566043004e-05,5.131429134053178e-05,0.00011039197124773636,-2.8121645300416276e-05,2.9189781344030052e-05,-5.236380820861086e-05,4.966623964719474e-05,5.0
1.087899727281183e-05,-1.561717363074422e-05,-5.83358523726929e-05,4.7957455535652116e-05,6.561660848092288e-05,0.0001697863481240347,-8.360794890904799e-05,-1.690803219389636e-05,-9.462593880016357e-05,-3.536952135618776e-07,-1.851853812695481e-05,1.8074929357680958e-06,2.12850372918183e-05,-5.9654958022292703e-05,5.845581472385675e-05,0.0001132330799009651,-2.6735109713627025e-05,2.9438931960612535e-05,-5.544986197492108e-05,5.2856434194836766e-05,5.0
1.5206111129373312e-05,-1.310678999288939e-05,-5.5153337598312646e-05,4.332372918725014e-05,6.564387877006084e-05,0.00016668828902766109,-8.014791819732636e-05,-2.0826755644520745e-05,-9.381655399920419e-05,-1.185013388749212e-06,-1.1900825484190136e-05,2.9319912755454425e-06,2.4747827410465106e-05,-5.84313202125486e-05,5.624252662528306e-05,0.0001124790869653225,-2.604633482405916e-05,2.8948452381882817e-05,-5.194155528442934e-05,5.7072058552876115e-05,5.0
